2026-09-06T11:43:25.0497978+08:00 pid=27256 tid=12 left-down x=1057 y=2123 wordForeground=False
2026-09-06T11:43:26.2403910+08:00 pid=27256 tid=12 left-down x=1355 y=2138 wordForeground=False
2026-09-06T11:43:41.0515232+08:00 pid=27256 tid=12 left-down x=1076 y=1158 wordForeground=False
2026-09-06T11:43:49.2881235+08:00 pid=27256 tid=12 left-down x=1360 y=2079 wordForeground=False
2026-09-06T11:44:01.9632168+08:00 pid=27256 tid=12 left-down x=1353 y=2049 wordForeground=False
2026-09-06T11:44:04.2150870+08:00 pid=27256 tid=12 left-down x=1902 y=1224 wordForeground=True
2026-09-06T11:44:05.8853124+08:00 pid=27256 tid=12 left-down x=1620 y=1535 wordForeground=True
2026-09-06T11:44:07.9779632+08:00 pid=27256 tid=12 left-down x=880 y=1260 wordForeground=False
2026-09-06T11:48:43.8942303+08:00 pid=27256 tid=12 left-down x=1618 y=1245 wordForeground=True
2026-09-06T11:48:46.1448872+08:00 pid=27256 tid=12 left-down x=788 y=1222 wordForeground=False
2026-09-06T11:48:50.5727705+08:00 pid=27256 tid=12 left-down x=1329 y=1606 wordForeground=True
2026-09-06T11:48:55.4390847+08:00 pid=27256 tid=12 left-down x=780 y=1237 wordForeground=False
2026-09-06T11:48:59.3794758+08:00 pid=27256 tid=12 left-down x=1347 y=1604 wordForeground=True
2026-09-06T11:53:50.6124154+08:00 pid=27256 tid=12 left-down x=1083 y=2146 wordForeground=False
2026-09-06T11:54:07.3012036+08:00 pid=27256 tid=12 left-down x=1984 y=1086 wordForeground=True
2026-09-06T11:56:54.3095124+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:57:02.0085033+08:00 pid=27256 tid=12 left-down x=1838 y=818 wordForeground=True
2026-09-06T12:09:32.5588497+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:10:06.8627111+08:00 pid=27256 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:10:49.0595811+08:00 pid=27256 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:10:49.5546449+08:00 pid=27256 tid=12 left-down x=1151 y=1515 wordForeground=True
2026-09-06T12:10:49.5556453+08:00 pid=27256 tid=12 double-click elapsedMs=495.582 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T12:10:49.6572090+08:00 pid=27256 tid=13 callback-begin interceptedNativeOle=False x=1151 y=1515
2026-09-06T12:10:49.6572090+08:00 pid=27256 tid=13 addin-callback-received interceptedNativeOle=False x=1151 y=1515
2026-09-06T12:10:49.6572090+08:00 pid=27256 tid=13 callback-end
2026-09-06T12:10:49.6682105+08:00 pid=27256 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T12:12:07.6375218+08:00 pid=27256 tid=12 left-down x=1838 y=774 wordForeground=True
2026-09-06T12:12:58.9337410+08:00 pid=27256 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:12:59.5650997+08:00 pid=27256 tid=12 left-down x=1170 y=1320 wordForeground=True
2026-09-06T12:16:38.5753235+08:00 pid=27256 tid=12 left-down x=801 y=814 wordForeground=False
2026-09-06T12:16:40.2706291+08:00 pid=27256 tid=12 left-down x=1006 y=849 wordForeground=False
2026-09-06T12:19:30.0371795+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:19:37.7935603+08:00 pid=27256 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:30:33.3246304+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:36:36.9312970+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
