2026-09-06T15:33:54.3538691+08:00 pid=27764 tid=12 left-down x=1323 y=1598 wordForeground=False
2026-09-06T15:35:00.4796051+08:00 pid=27764 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:01.1409974+08:00 pid=27764 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:43.3727089+08:00 pid=27764 tid=12 left-down x=837 y=1166 wordForeground=False
2026-09-06T15:36:00.1480529+08:00 pid=27764 tid=12 left-down x=2078 y=1366 wordForeground=True
2026-09-06T15:37:05.3402187+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:46:37.0893208+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:46:45.7588389+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:46:48.9526497+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:46:50.9881978+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:49:12.8518309+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:50:00.8205310+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:50:09.8915231+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:54:09.3457600+08:00 pid=27764 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:09.9466355+08:00 pid=27764 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:20.4446443+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:55:19.1881289+08:00 pid=27764 tid=12 left-down x=758 y=1250 wordForeground=False
2026-09-06T15:55:45.1230675+08:00 pid=27764 tid=12 left-down x=820 y=1253 wordForeground=False
2026-09-06T15:55:56.7832289+08:00 pid=27764 tid=12 left-down x=2051 y=1093 wordForeground=True
2026-09-06T15:57:04.8348455+08:00 pid=27764 tid=12 left-down x=763 y=1216 wordForeground=False
2026-09-06T15:57:06.9813623+08:00 pid=27764 tid=12 left-down x=2028 y=1110 wordForeground=True
2026-09-06T15:57:09.9914353+08:00 pid=27764 tid=12 left-down x=770 y=1090 wordForeground=False
2026-09-06T15:57:11.7017530+08:00 pid=27764 tid=12 left-down x=618 y=1046 wordForeground=False
2026-09-06T15:57:15.8229324+08:00 pid=27764 tid=12 left-down x=1892 y=402 wordForeground=False
2026-09-06T15:57:20.7001768+08:00 pid=27764 tid=12 left-down x=1965 y=1091 wordForeground=True
